1,LAEGREID Sturla Holm,НОРВЕГИЯ,1:20:19.3 [0+11] 0.0,doubleES
1,BOE Johannes Thingnes,НОРВЕГИЯ,1:20:19.3 [0+11] 0.0,doubleES
1,ECKHOFF Tiril,НОРВЕГИЯ,1:20:19.3 [0+11] 0.0,doubleES
1,ROEISELAND Marte Olsbu,НОРВЕГИЯ,1:20:19.3 [0+11] 0.0,doubleES
2,KOMATZ David,АВСТРИЯ,1:20:46.3 [0+2] +27.0,doubleES
2,EDER Simon,АВСТРИЯ,1:20:46.3 [0+2] +27.0,doubleES
2,ZDOUC Dunja,АВСТРИЯ,1:20:46.3 [0+2] +27.0,doubleES
2,HAUSER Lisa Theresa,АВСТРИЯ,1:20:46.3 [0+2] +27.0,doubleES
3,SAMUELSSON Sebastian,ШВЕЦИЯ,1:20:49.9 [0+8] +30.6,doubleES
3,PONSILUOMA Martin,ШВЕЦИЯ,1:20:49.9 [0+8] +30.6,doubleES
3,PERSSON Linn,ШВЕЦИЯ,1:20:49.9 [0+8] +30.6,doubleES
3,OEBERG Hanna,ШВЕЦИЯ,1:20:49.9 [0+8] +30.6,doubleES
4,PRYMA Artem,УКРАИНА,1:20:50.4 [0+8] +31.1,doubleES
4,PIDRUCHNYI Dmytro,УКРАИНА,1:20:50.4 [0+8] +31.1,doubleES
4,DZHIMA Yuliia,УКРАИНА,1:20:50.4 [0+8] +31.1,doubleES
4,PIDHRUSHNA Olena,УКРАИНА,1:20:50.4 [0+8] +31.1,doubleES
5,JACQUELIN Emilien,ФРАНЦИЯ,1:21:05.5 [1+10] +46.2,doubleES
5,FILLON MAILLET Quentin,ФРАНЦИЯ,1:21:05.5 [1+10] +46.2,doubleES
5,CHEVALIER-BOUCHET Anais,ФРАНЦИЯ,1:21:05.5 [1+10] +46.2,doubleES
5,SIMON Julia,ФРАНЦИЯ,1:21:05.5 [1+10] +46.2,doubleES
6,BIONAZ Didier,ИТАЛИЯ,1:21:18.2 [0+6] +58.9,doubleES
6,HOFER Lukas,ИТАЛИЯ,1:21:18.2 [0+6] +58.9,doubleES
