1,STROEMSHEIM Endre,Норвегия,41:33.7 [1(0+0+0+1)] 0.0,male15oneGonka
2,NAWRATH Philipp,Германия,42:04.5 [2(0+0+0+2)] +30.8,male15oneGonka
3,ANDERSEN Aleksander Fjeld,Норвегия,42:09.0 [2(1+0+0+1)] +35.3,male15oneGonka
4,KHALILI Said Karimulla,Россия,42:17.4 [1(0+0+0+1)] +43.7,male15oneGonka
5,WRIGHT Campbell,Новая Зеландия,42:17.8 [1(0+1+0+0)] +44.1,male15oneGonka
6,TSYMBAL Bogdan,Украина,42:32.1 [1(0+0+1+0)] +58.4,male15oneGonka
7,BRAUNHOFER Patrick,Италия,42:48.6 [1(1+0+0+0)] +1:14.9,male15oneGonka
8,BAKKEN Sivert Guttorm,Норвегия,42:57.9 [3(1+1+1+0)] +1:24.2,male15oneGonka
9,ANDERSEN Filip,Норвегия,43:02.8 [4(0+1+2+1)] +1:29.1,male15oneGonka
10,SCHMUCK Dominic,Германия,43:12.1 [2(1+1+0+0)] +1:38.4,male15oneGonka
10,STEFANSSON Malte,Швеция,43:12.1 [2(0+0+1+1)] +1:38.4,male15oneGonka
12,MAGAZEEV Pavel,Молдова,43:14.3 [3(1+1+1+0)] +1:40.6,male15oneGonka
13,KOBONOKI Tsukasa,Япония,43:29.3 [2(0+0+1+1)] +1:55.6,male15oneGonka
14,SALUTT Nico,Швейцария,43:30.8 [2(0+1+0+1)] +1:57.1,male15oneGonka
15,FRATZSCHER Lucas,Германия,43:31.2 [3(2+0+0+1)] +1:57.5,male15oneGonka
16,RIVAIL Hugo,Франция,43:35.7 [2(0+1+0+1)] +2:02.0,male15oneGonka
17,CAPPELLARI Daniele,Италия,43:35.8 [2(0+1+1+0)] +2:02.1,male15oneGonka
18,STRELOW Justus,Германия,43:38.8 [2(0+1+0+1)] +2:05.1,male15oneGonka
19,DONHAUSER Johannes Werner,Германия,43:40.4 [2(0+1+0+1)] +2:06.7,male15oneGonka
20,JAKOB Patrick,Австрия,43:43.9 [2(1+0+1+0)] +2:10.2,male15oneGonka
21,ZINI Saverio,Италия,43:47.4 [3(0+1+0+2)] +2:13.7,male15oneGonka
22,LOMBARDOT Oscar,Франция,43:47.5 [2(0+1+1+0)] +2:13.8,male15oneGonka
23,MONTELLO Giuseppe,Италия,44:01.2 [4(0+0+2+2)] +2:27.5,male15oneGonka
24,PORSHNEV Nikita,Россия,44:10.0 [2(0+0+1+1)] +2:36.3,male15oneGonka
25,ZOBEL David,Германия,44:10.8 [2(0+1+1+0)] +2:37.1,male15oneGonka
26,BURKHALTER Joscha,Швейцария,44:26.1 [3(1+0+2+0)] +2:52.4,male15oneGonka
27,KARLIK Mikulas,Чехия,44:29.6 [4(0+1+2+1)] +2:55.9,male15oneGonka
28,VIDMAR Anton,Словения,44:31.3 [2(1+0+0+1)] +2:57.6,male15oneGonka
29,LESIUK Taras,Украина,44:33.1 [2(0+1+1+0)] +2:59.4,male15oneGonka
30,DOTSENKO Andriy,Украина,44:40.7 [4(1+1+1+1)] +3:07.0,male15oneGonka
31,SUCHILOV Semen,Россия,44:43.0 [4(0+1+2+1)] +3:09.3,male15oneGonka
32,PERROT Eric,Франция,44:44.1 [4(2+1+1+0)] +3:10.4,male15oneGonka
33,SOERUM Vebjoern,Норвегия,44:46.4 [3(1+2+0+0)] +3:12.7,male15oneGonka
34,POSTL Thomas,Австрия,44:46.9 [2(0+0+0+2)] +3:13.2,male15oneGonka
35,HOLLANDT Florian,Германия,44:53.3 [3(1+0+0+2)] +3:19.6,male15oneGonka
36,BURNOTTE Jules,Канада,44:58.6 [4(1+0+2+1)] +3:24.9,male15oneGonka
37,IDINOV Evgenii,Россия,45:06.4 [3(2+1+0+0)] +3:32.7,male15oneGonka
38,USOV Mihail,Молдова,45:22.6 [2(0+1+1+0)] +3:48.9,male15oneGonka
39,MAHON Sebastien,Франция,45:31.3 [5(1+2+1+1)] +3:57.6,male15oneGonka
40,BOURGEOIS REPUBLIQUE Martin,Франция,45:37.2 [3(0+1+2+0)] +4:03.5,male15oneGonka
41,RASTIC Damir,Сербия,45:39.2 [4(0+2+1+1)] +4:05.5,male15oneGonka
42,JAEGER Martin,Швейцария,45:41.4 [4(1+2+0+1)] +4:07.7,male15oneGonka
43,UNTERWEGER Dominic,Австрия,45:42.7 [2(0+1+0+1)] +4:09.0,male15oneGonka
44,BOGETVEIT Haavard Gutuboe,Норвегия,45:43.6 [6(2+2+1+1)] +4:09.9,male15oneGonka
45,OBERHAUSER Magnus,Австрия,45:48.4 [4(0+1+0+3)] +4:14.7,male15oneGonka
46,BRYHADYR Ruslan,Украина,45:59.6 [5(0+2+1+2)] +4:25.9,male15oneGonka
47,BALODIS Rudis,Латвия,46:01.3 [0(0+0+0+0)] +4:27.6,male15oneGonka
48,SEROKHVOSTOV Daniil,Россия,46:06.5 [7(3+2+0+2)] +4:32.8,male15oneGonka
49,MILLAR Aidan,Канада,46:07.9 [3(1+1+0+1)] +4:34.2,male15oneGonka
50,ZAWOL Marcin,Польша,46:17.9 [2(0+0+1+1)] +4:44.2,male15oneGonka
51,BRANDT Oskar,Швеция,46:18.6 [5(2+2+1+0)] +4:44.9,male15oneGonka
52,GUNKA Jan,Польша,46:20.6 [2(0+2+0+0)] +4:46.9,male15oneGonka
53,STEGMAYR Gabriel,Швеция,46:20.9 [3(0+0+1+2)] +4:47.2,male15oneGonka
