1,ECKHOFF Tiril,Норвегия,18:44.6 [1(0+1)] 0.0,female75sprint
2,WIERER Dorothea,Италия,18:47.1 [0(0+0)] +2.5,female75sprint
3,TANDREVOLD Ingrid Landmark,Норвегия,18:51.3 [0(0+0)] +6.7,female75sprint
4,CHEVALIER-BOUCHET Anais,Франция,19:00.0 [1(0+1)] +15.4,female75sprint
5,HAUSER Lisa Theresa,Австрия,19:01.0 [1(0+1)] +16.4,female75sprint
6,ROEISELAND Marte Olsbu,Норвегия,19:02.8 [1(1+0)] +18.2,female75sprint
7,HAECKI Lena,Швейцария,19:05.9 [0(0+0)] +21.3,female75sprint
8,TODOROVA Milena,Болгария,19:06.9 [0(0+0)] +22.3,female75sprint
9,LIEN Ida,Норвегия,19:10.2 [0(0+0)] +25.6,female75sprint
10,FIALKOVA Paulina,Словакия,19:10.6 [1(1+0)] +26.0,female75sprint
11,ALIMBEKAVA Dzinara,Беларусь,19:11.2 [1(0+1)] +26.6,female75sprint
12,CHEVALIER Chloe,Франция,19:11.3 [0(0+0)] +26.7,female75sprint
13,SOLA Hanna,Беларусь,19:14.6 [2(1+1)] +30.0,female75sprint
14,PERSSON Linn,Швеция,19:16.5 [1(0+1)] +31.9,female75sprint
15,BRORSSON Mona,Швеция,19:22.2 [0(0+0)] +37.6,female75sprint
16,KAISHEVA Uliana,Россия,19:23.5 [0(0+0)] +38.9,female75sprint
17,HETTICH Janina,Германия,19:23.9 [0(0+0)] +39.3,female75sprint
18,KRYUKO Iryna,Беларусь,19:26.3 [0(0+0)] +41.7,female75sprint
19,TALIHAERM Johanna,Эстония,19:28.7 [0(0+0)] +44.1,female75sprint
20,VITTOZZI Lisa,Италия,19:30.1 [1(1+0)] +45.5,female75sprint
21,KALKENBERG Emilie Aagheim,Норвегия,19:33.8 [0(0+0)] +49.2,female75sprint
22,SIMON Julia,Франция,19:34.2 [2(1+1)] +49.6,female75sprint
23,PREUSS Franziska,Германия,19:35.1 [2(1+1)] +50.5,female75sprint
24,MIRONOVA Svetlana,Россия,19:37.2 [2(1+1)] +52.6,female75sprint
25,BESCOND Anais,Франция,19:39.8 [1(1+0)] +55.2,female75sprint
26,NILSSON Stina,Швеция,19:40.5 [1(0+1)] +55.9,female75sprint
27,HINZ Vanessa,Германия,19:40.9 [1(0+1)] +56.3,female75sprint
28,VISHNEVSKAYA-SHEPORENKO Galina,Казахстан,19:41.4 [0(0+0)] +56.8,female75sprint
29,KUKLINA Larisa,Россия,19:43.1 [1(1+0)] +58.5,female75sprint
29,KRUCHINKINA Elena,Беларусь,19:43.1 [1(0+1)] +58.5,female75sprint
31,WEIDEL Anna,Германия,19:43.8 [0(0+0)] +59.2,female75sprint
32,BULINA Sanita,Латвия,19:47.6 [0(0+0)] +1:03.0,female75sprint
